,c,sigma,noise,algorithm,ari
0,60,0.05,0.0,Herm,0.5294992533811919
0,60,0.25,0.0,DiSim,0.4601455929047302
0,60,0.25,0.0,Herm,0.5201221080050793
0,60,0.45,0.0,DiSim,0.6050323945127518
0,60,0.45,0.0,Herm,0.6140927870255714
0,30,0.05,0.0875,DiSim,0.22454549618387998
0,30,0.05,0.0875,Herm,0.4798439407767096
0,30,0.25,0.0875,DiSim,0.2592841599828082
0,30,0.25,0.0875,Herm,0.47043012887209834
0,30,0.45,0.0875,DiSim,0.2764561571823569
0,30,0.45,0.0875,Herm,0.5551046053305997
0,45,0.05,0.0875,DiSim,0.22848303366393985
0,45,0.05,0.0875,Herm,0.5116175611222596
0,45,0.25,0.0875,DiSim,0.24400374926359256
0,45,0.25,0.0875,Herm,0.5022976810145265
0,45,0.45,0.0875,DiSim,0.3161896628766459
0,45,0.45,0.0875,Herm,0.5943800774033603
0,60,0.05,0.0875,DiSim,0.18801514011940412
0,60,0.05,0.0875,Herm,0.5221613199217094
0,60,0.25,0.0875,DiSim,0.24392907907295897
0,60,0.25,0.0875,Herm,0.511679965843496
0,60,0.45,0.0875,DiSim,0.40142713365042987
0,60,0.45,0.0875,Herm,0.6021065217805561
0,30,0.05,0.175,DiSim,0.21462842644456553
0,30,0.05,0.175,Herm,0.45083500015294053
0,30,0.25,0.175,DiSim,0.2271930939772856
0,30,0.25,0.175,Herm,0.4287971244455091
0,30,0.45,0.175,DiSim,0.2423987223264204
0,30,0.45,0.175,Herm,0.47481052245441596
0,45,0.05,0.175,DiSim,0.23622255585989294
0,45,0.05,0.175,Herm,0.4925725161980446
0,45,0.25,0.175,DiSim,0.2097908699128951
0,45,0.25,0.175,Herm,0.47908519779736286
0,45,0.45,0.175,DiSim,0.22975491468615641
0,45,0.45,0.175,Herm,0.5377417511159246
0,60,0.05,0.175,DiSim,0.1875077536368517
0,60,0.05,0.175,Herm,0.5079063694398024
0,60,0.25,0.175,DiSim,0.22131895060584206
0,60,0.25,0.175,Herm,0.495693221077859
0,60,0.45,0.175,DiSim,0.2619280503201987
0,60,0.45,0.175,Herm,0.574640326853366
0,30,0.05,0.26249999999999996,DiSim,0.20801484964078473
0,30,0.05,0.26249999999999996,Herm,0.39344751589952875
0,30,0.25,0.26249999999999996,DiSim,0.19793713827583567
0,30,0.25,0.26249999999999996,Herm,0.3008487922253232
0,30,0.45,0.26249999999999996,DiSim,0.19535833407102493
0,30,0.45,0.26249999999999996,Herm,0.28341403347239497
0,45,0.05,0.26249999999999996,DiSim,0.20195624915825394
0,45,0.05,0.26249999999999996,Herm,0.46898377399965535
0,45,0.25,0.26249999999999996,DiSim,0.1768328658518275
0,45,0.25,0.26249999999999996,Herm,0.3884735813879799
0,45,0.45,0.26249999999999996,DiSim,0.20757452664858178
0,45,0.45,0.26249999999999996,Herm,0.3332226560621325
0,60,0.05,0.26249999999999996,DiSim,0.15110912755830772
0,60,0.05,0.26249999999999996,Herm,0.487067231770986
0,60,0.25,0.26249999999999996,DiSim,0.1584008693939716
0,60,0.25,0.26249999999999996,Herm,0.41090168963062024
