,model,p,noise,algorithm,ari
0,DSBM_PA,0.006,0.0,Herm,0.5825931585161559
0,DSBM,0.008,0.0,DiSim,0.7501387062844792
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.20013355417761847
0,DSBM_PA,0.008,0.0,Herm,0.6195431834125988
0,DSBM,0.002,0.0875,DiSim,0.2400666823543765
0,DSBM,0.002,0.0875,Herm,0.9184014018717677
0,DSBM_PA,0.002,0.0875,DiSim,0.003213353201784633
0,DSBM_PA,0.002,0.0875,Herm,0.005953164112951909
0,DSBM,0.004,0.0875,DiSim,0.6157340631243877
0,DSBM,0.004,0.0875,Herm,0.9904633640145942
0,DSBM_PA,0.004,0.0875,DiSim,0.0019027535061756848
0,DSBM_PA,0.004,0.0875,Herm,0.00573213235443894
0,DSBM,0.006,0.0875,DiSim,0.7021401651165865
0,DSBM,0.006,0.0875,Herm,0.9977546155059749
0,DSBM_PA,0.006,0.0875,DiSim,0.0008256434302498046
0,DSBM_PA,0.006,0.0875,Herm,0.005337605755163016
0,DSBM,0.008,0.0875,DiSim,0.7300343892508091
0,DSBM,0.008,0.0875,Herm,0.9996250656660229
0,DSBM_PA,0.008,0.0875,DiSim,0.0006142568733368811
0,DSBM_PA,0.008,0.0875,Herm,0.00500524555492867
0,DSBM,0.002,0.175,DiSim,0.02339469410579885
0,DSBM,0.002,0.175,Herm,0.707166073226925
0,DSBM_PA,0.002,0.175,DiSim,0.001001060166283206
0,DSBM_PA,0.002,0.175,Herm,0.0017885786450966045
0,DSBM,0.004,0.175,DiSim,0.2486853252456272
0,DSBM,0.004,0.175,Herm,0.9496518283416471
0,DSBM_PA,0.004,0.175,DiSim,0.0004348510959241684
0,DSBM_PA,0.004,0.175,Herm,0.001431389201629367
0,DSBM,0.006,0.175,DiSim,0.4996555428091322
0,DSBM,0.006,0.175,Herm,0.9853273901338273
0,DSBM_PA,0.006,0.175,DiSim,0.00033803937606081014
0,DSBM_PA,0.006,0.175,Herm,0.001281262488301872
0,DSBM,0.008,0.175,DiSim,0.6023667345557356
0,DSBM,0.008,0.175,Herm,0.9947752834723624
0,DSBM_PA,0.008,0.175,DiSim,3.5760348720935134e-05
0,DSBM_PA,0.008,0.175,Herm,0.0018010879925774875
0,DSBM,0.002,0.26249999999999996,DiSim,1.0732504745286115e-05
0,DSBM,0.002,0.26249999999999996,Herm,0.19336393459764886
0,DSBM_PA,0.002,0.26249999999999996,DiSim,0.00036477222406035005
0,DSBM_PA,0.002,0.26249999999999996,Herm,0.0006348330048410741
0,DSBM,0.004,0.26249999999999996,DiSim,0.031637595540001444
0,DSBM,0.004,0.26249999999999996,Herm,0.7286190358248114
0,DSBM_PA,0.004,0.26249999999999996,DiSim,0.00017211744853789496
0,DSBM_PA,0.004,0.26249999999999996,Herm,0.0007369835717795148
0,DSBM,0.006,0.26249999999999996,DiSim,0.1441346413467318
0,DSBM,0.006,0.26249999999999996,Herm,0.8991929131380622
0,DSBM_PA,0.006,0.26249999999999996,DiSim,7.39793101830375e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,0.00022466316027330556
0,DSBM,0.008,0.26249999999999996,DiSim,0.22627790676690832
0,DSBM,0.008,0.26249999999999996,Herm,0.95243683469454
0,DSBM_PA,0.008,0.26249999999999996,DiSim,-2.4069420044164998e-06
0,DSBM_PA,0.008,0.26249999999999996,Herm,0.0003639443482228537
0,DSBM,0.002,0.35,DiSim,7.892094403514106e-05
0,DSBM,0.002,0.35,Herm,0.002045269796744262
0,DSBM_PA,0.002,0.35,DiSim,0.00027924469114633667
0,DSBM_PA,0.002,0.35,Herm,0.00062438410709042
0,DSBM,0.004,0.35,DiSim,2.7808809061523705e-05
0,DSBM,0.004,0.35,Herm,0.0973790189271941
0,DSBM_PA,0.004,0.35,DiSim,0.00011995808171656654
0,DSBM_PA,0.004,0.35,Herm,9.786716427050709e-05
0,DSBM,0.006,0.35,DiSim,0.000637704735376743
0,DSBM,0.006,0.35,Herm,0.3003599198271163
0,DSBM_PA,0.006,0.35,DiSim,8.041325336819844e-05
0,DSBM_PA,0.006,0.35,Herm,0.00013006867732378202
0,DSBM,0.008,0.35,DiSim,0.001564155161877883
0,DSBM,0.008,0.35,Herm,0.4832381737115407
