,p,noise,tau,algorithm,ari
0,0.006,0.15,1.15,Herm,0.002132666625633303
0,0.006,0.15,1.25,DiSim,0.03392132372609081
0,0.006,0.15,1.25,Herm,0.002105424652037976
0,0.006,0.15,1.6,DiSim,0.03392132372609081
0,0.006,0.15,1.6,Herm,0.0022117665637245553
0,0.006,0.15,2,DiSim,0.03395247865155383
0,0.006,0.15,2,Herm,0.0017700811410899177
0,0.006,0.15,3,DiSim,0.03399173526707764
0,0.006,0.15,3,Herm,0.0011078553932952731
0,0.003,0.0,0.1,DiSim,0.2748672197069096
0,0.003,0.0,0.1,Herm,0.3875534860224326
0,0.003,0.0,0.4,DiSim,0.27474455071421394
0,0.003,0.0,0.4,Herm,0.351267497290502
0,0.003,0.0,0.75,DiSim,0.27482313657822194
0,0.003,0.0,0.75,Herm,0.29963241789945017
0,0.003,0.0,0.85,DiSim,0.2751284644564631
0,0.003,0.0,0.85,Herm,0.28937294504782896
0,0.003,0.0,1,DiSim,0.27536289486454585
0,0.003,0.0,1,Herm,0.2718817726459526
0,0.003,0.0,1.15,DiSim,0.2745902141997553
0,0.003,0.0,1.15,Herm,0.24660454379099955
0,0.003,0.0,1.25,DiSim,0.2748984400109667
0,0.003,0.0,1.25,Herm,0.2348880229941437
0,0.003,0.0,1.6,DiSim,0.2753570235559448
0,0.003,0.0,1.6,Herm,0.19689057629251738
0,0.003,0.0,2,DiSim,0.2748672197069096
0,0.003,0.0,2,Herm,0.16824011457451274
0,0.003,0.0,3,DiSim,0.2748672197069096
0,0.003,0.0,3,Herm,0.11403045192167814
0,0.006,0.0,0.1,DiSim,0.33694990924453944
0,0.006,0.0,0.1,Herm,0.43440758486566744
0,0.006,0.0,0.4,DiSim,0.33694990924453944
0,0.006,0.0,0.4,Herm,0.40584741538939134
0,0.006,0.0,0.75,DiSim,0.33732930061226185
0,0.006,0.0,0.75,Herm,0.3691931173835084
0,0.006,0.0,0.85,DiSim,0.337895630372524
0,0.006,0.0,0.85,Herm,0.35551502617181746
0,0.006,0.0,1,DiSim,0.33719529054469466
0,0.006,0.0,1,Herm,0.3406228412371268
0,0.006,0.0,1.15,DiSim,0.3370745413167739
0,0.006,0.0,1.15,Herm,0.32239211589291716
0,0.006,0.0,1.25,DiSim,0.3378191813353269
0,0.006,0.0,1.25,Herm,0.3109788839416567
0,0.006,0.0,1.6,DiSim,0.33732930061226185
0,0.006,0.0,1.6,Herm,0.28622655443765366
0,0.006,0.0,2,DiSim,0.33779305341418825
0,0.006,0.0,2,Herm,0.25216689511577767
0,0.006,0.0,3,DiSim,0.3369930499539802
0,0.006,0.0,3,Herm,0.20115739453289044
0,0.003,0.15,0.1,DiSim,0.029475972513303344
0,0.003,0.15,0.1,Herm,0.009075762576318043
0,0.003,0.15,0.4,DiSim,0.029472380900235056
0,0.003,0.15,0.4,Herm,0.0031824744111500695
0,0.003,0.15,0.75,DiSim,0.029679230044311125
0,0.003,0.15,0.75,Herm,0.0016210171451815874
0,0.003,0.15,0.85,DiSim,0.0296506629269691
0,0.003,0.15,0.85,Herm,0.0014800237005623714
0,0.003,0.15,1,DiSim,0.029725437277102786
0,0.003,0.15,1,Herm,0.0016242510454783372
0,0.003,0.15,1.15,DiSim,0.029597581419687075
0,0.003,0.15,1.15,Herm,0.0015015197079752587
0,0.003,0.15,1.25,DiSim,0.029499956131320924
0,0.003,0.15,1.25,Herm,0.0015045190463094363
0,0.003,0.15,1.6,DiSim,0.02952781222970417
0,0.003,0.15,1.6,Herm,0.0013167856269703732
0,0.003,0.15,2,DiSim,0.029554098503133182
0,0.003,0.15,2,Herm,0.001269268944928977
0,0.003,0.15,3,DiSim,0.02954097241504859
0,0.003,0.15,3,Herm,0.0008290031379434132
0,0.006,0.15,0.1,DiSim,0.09350257976336716
0,0.006,0.15,0.1,Herm,0.00883717887864791
0,0.006,0.15,0.4,DiSim,0.09420611494406479
0,0.006,0.15,0.4,Herm,0.004404103445704324
0,0.006,0.15,0.75,DiSim,0.09386737155347794
0,0.006,0.15,0.75,Herm,0.0031479054583879356
0,0.006,0.15,0.85,DiSim,0.09438362475917557
0,0.006,0.15,0.85,Herm,0.0031421462453473325
0,0.006,0.15,1,DiSim,0.09439602998224467
0,0.006,0.15,1,Herm,0.0024952653351172924
0,0.006,0.15,1.15,DiSim,0.09436012893533882
0,0.006,0.15,1.15,Herm,0.002383260186268083
0,0.006,0.15,1.25,DiSim,0.09441248672134923
0,0.006,0.15,1.25,Herm,0.0022460142429539323
0,0.006,0.15,1.6,DiSim,0.09432540917294079
0,0.006,0.15,1.6,Herm,0.0019223036141310205
0,0.006,0.15,2,DiSim,0.0943542853265505
0,0.006,0.15,2,Herm,0.0019625485507865433
0,0.006,0.15,3,DiSim,0.09445650627184864
0,0.006,0.15,3,Herm,0.0015478020241328505
0,0.003,0.0,0.1,DiSim,0.27536289486454585
0,0.003,0.0,0.1,Herm,0.3875534860224326
0,0.003,0.0,0.4,DiSim,0.27595576366808083
0,0.003,0.0,0.4,Herm,0.351267497290502
0,0.003,0.0,0.75,DiSim,0.27482313657822194
0,0.003,0.0,0.75,Herm,0.29963241789945017
0,0.003,0.0,0.85,DiSim,0.2745659298503588
0,0.003,0.0,0.85,Herm,0.28937294504782896
0,0.003,0.0,1,DiSim,0.27536289486454585
0,0.003,0.0,1,Herm,0.2718817726459526
0,0.003,0.0,1.15,DiSim,0.2745902141997553
0,0.003,0.0,1.15,Herm,0.24660454379099955
0,0.003,0.0,1.25,DiSim,0.2748984400109667
0,0.003,0.0,1.25,Herm,0.2348880229941437
0,0.003,0.0,1.6,DiSim,0.2753608680209816
0,0.003,0.0,1.6,Herm,0.19689057629251738
0,0.003,0.0,2,DiSim,0.2748672197069096
0,0.003,0.0,2,Herm,0.16824011457451274
0,0.003,0.0,3,DiSim,0.2748672197069096
0,0.003,0.0,3,Herm,0.11403045192167814
0,0.006,0.0,0.1,DiSim,0.33694990924453944
0,0.006,0.0,0.1,Herm,0.43440758486566744
0,0.006,0.0,0.4,DiSim,0.3370204042573747
0,0.006,0.0,0.4,Herm,0.40584741538939134
0,0.006,0.0,0.75,DiSim,0.33799437278726396
0,0.006,0.0,0.75,Herm,0.3691931173835084
0,0.006,0.0,0.85,DiSim,0.337895630372524
0,0.006,0.0,0.85,Herm,0.35551502617181746
0,0.006,0.0,1,DiSim,0.33719529054469466
0,0.006,0.0,1,Herm,0.3406228412371268
0,0.006,0.0,1.15,DiSim,0.3370745413167739
0,0.006,0.0,1.15,Herm,0.32239211589291716
0,0.006,0.0,1.25,DiSim,0.3378191813353269
0,0.006,0.0,1.25,Herm,0.3109788839416567
0,0.006,0.0,1.6,DiSim,0.33732930061226185
0,0.006,0.0,1.6,Herm,0.28622655443765366
0,0.006,0.0,2,DiSim,0.33823614606015984
0,0.006,0.0,2,Herm,0.25216689511577767
0,0.006,0.0,3,DiSim,0.3369930499539802
0,0.006,0.0,3,Herm,0.20115739453289044
0,0.003,0.15,0.1,DiSim,0.02945106253802538
0,0.003,0.15,0.1,Herm,0.009075762576318043
0,0.003,0.15,0.4,DiSim,0.029472380900235056
0,0.003,0.15,0.4,Herm,0.0031824744111500695
0,0.003,0.15,0.75,DiSim,0.029611550719592105
0,0.003,0.15,0.75,Herm,0.0016210171451815874
0,0.003,0.15,0.85,DiSim,0.0296506629269691
0,0.003,0.15,0.85,Herm,0.0014800237005623714
0,0.003,0.15,1,DiSim,0.029725437277102786
0,0.003,0.15,1,Herm,0.0016242510454783372
0,0.003,0.15,1.15,DiSim,0.029747779555297525
0,0.003,0.15,1.15,Herm,0.0015015197079752587
0,0.003,0.15,1.25,DiSim,0.029499956131320924
0,0.003,0.15,1.25,Herm,0.0015045190463094363
0,0.003,0.15,1.6,DiSim,0.029651497676823423
0,0.003,0.15,1.6,Herm,0.0013167856269703732
0,0.003,0.15,2,DiSim,0.029599988128962744
0,0.003,0.15,2,Herm,0.001269268944928977
0,0.003,0.15,3,DiSim,0.02954097241504859
0,0.003,0.15,3,Herm,0.0008290031379434132
0,0.006,0.15,0.1,DiSim,0.09350257976336716
0,0.006,0.15,0.1,Herm,0.00883717887864791
0,0.006,0.15,0.4,DiSim,0.09420611494406479
0,0.006,0.15,0.4,Herm,0.004404103445704324
0,0.006,0.15,0.75,DiSim,0.09436012893533882
0,0.006,0.15,0.75,Herm,0.0031479054583879356
