,c,k,noise,tau,algorithm,ari
0,20,5,0.15,1.15,Herm,0.6451249865784016
0,20,5,0.15,1.25,DiSim,0.5707702047650396
0,20,5,0.15,1.25,Herm,0.4512007040345876
0,20,5,0.15,1.6,DiSim,0.5707702047650396
0,20,5,0.15,1.6,Herm,0.4202645121799271
0,20,5,0.15,2,DiSim,0.5707702047650396
0,20,5,0.15,2,Herm,0.39174109351013686
0,20,5,0.15,3,DiSim,0.5707702047650396
0,20,5,0.15,3,Herm,0.22143811259085533
0,60,5,0.15,0.1,DiSim,0.7062009480898261
0,60,5,0.15,0.1,Herm,0.7134829048486191
0,60,5,0.15,0.4,DiSim,0.706202681964386
0,60,5,0.15,0.4,Herm,0.7281758284822183
0,60,5,0.15,0.75,DiSim,0.7062009480898261
0,60,5,0.15,0.75,Herm,0.7376632227774529
0,60,5,0.15,0.85,DiSim,0.7062009480898261
0,60,5,0.15,0.85,Herm,0.738096148865602
0,60,5,0.15,1,DiSim,0.706094695219041
0,60,5,0.15,1,Herm,0.7402442468289223
0,60,5,0.15,1.15,DiSim,0.7062009480898261
0,60,5,0.15,1.15,Herm,0.7423381651584849
0,60,5,0.15,1.25,DiSim,0.706202681964386
0,60,5,0.15,1.25,Herm,0.7426520432085145
0,60,5,0.15,1.6,DiSim,0.7062009480898261
0,60,5,0.15,1.6,Herm,0.7422821075909057
0,60,5,0.15,2,DiSim,0.7062009480898261
0,60,5,0.15,2,Herm,0.7420380095509457
0,60,5,0.15,3,DiSim,0.706202681964386
0,60,5,0.15,3,Herm,0.7362030208731033
0,20,3,0.0,0.1,DiSim,0.8047060341904433
0,20,3,0.0,0.1,Herm,0.0007488344412596595
0,20,3,0.0,0.4,DiSim,0.8047060341904433
0,20,3,0.0,0.4,Herm,0.0004290557243331623
0,20,3,0.0,0.75,DiSim,0.8047060341904433
0,20,3,0.0,0.75,Herm,0.00014034467894473492
0,20,3,0.0,0.85,DiSim,0.8047060341904433
