,c,k,noise,omega,algorithm,ari
0,60,3,0.15,0.0015,Herm,0.981733506248251
0,60,3,0.15,0.00175,DiSim,0.8714053215256409
0,60,3,0.15,0.00175,Herm,0.981733506248251
0,60,3,0.15,0.002,DiSim,0.8774885652494756
0,60,3,0.15,0.002,Herm,0.981733506248251
0,20,5,0.15,0.0,DiSim,0.5661230729882875
0,20,5,0.15,0.0,Herm,0.9320242634303675
0,20,5,0.15,0.00025,DiSim,0.5470758618439914
0,20,5,0.15,0.00025,Herm,0.9284344514406475
0,20,5,0.15,0.0005,DiSim,0.4914359707013698
0,20,5,0.15,0.0005,Herm,0.9257732368724676
0,20,5,0.15,0.00075,DiSim,0.4428800959353581
0,20,5,0.15,0.00075,Herm,0.9269195127333191
0,20,5,0.15,0.001,DiSim,0.3984776355378613
0,20,5,0.15,0.001,Herm,0.9252397589091707
0,20,5,0.15,0.00125,DiSim,0.3620267787131964
0,20,5,0.15,0.00125,Herm,0.9226147964912842
0,20,5,0.15,0.0015,DiSim,0.33506325987048186
0,20,5,0.15,0.0015,Herm,0.9185564141059032
0,20,5,0.15,0.00175,DiSim,0.3097666437191215
0,20,5,0.15,0.00175,Herm,0.9151760878565762
0,20,5,0.15,0.002,DiSim,0.2904399880465426
0,20,5,0.15,0.002,Herm,0.9089770558851163
0,60,5,0.15,0.0,DiSim,0.6776908269186844
0,60,5,0.15,0.0,Herm,0.9862470542956313
0,60,5,0.15,0.00025,DiSim,0.8294656811312828
0,60,5,0.15,0.00025,Herm,0.9874888860482942
0,60,5,0.15,0.0005,DiSim,0.8278502150431752
0,60,5,0.15,0.0005,Herm,0.991005958074588
0,60,5,0.15,0.00075,DiSim,0.8544862803832639
0,60,5,0.15,0.00075,Herm,0.988747123548823
0,60,5,0.15,0.001,DiSim,0.8826433911270822
0,60,5,0.15,0.001,Herm,0.9894994961028545
0,60,5,0.15,0.00125,DiSim,0.8599401802669244
0,60,5,0.15,0.00125,Herm,0.9890011309103103
0,60,5,0.15,0.0015,DiSim,0.8327308447522532
0,60,5,0.15,0.0015,Herm,0.9880027278046137
0,60,5,0.15,0.00175,DiSim,0.8129483678951562
0,60,5,0.15,0.00175,Herm,0.9877545812413749
0,60,5,0.15,0.002,DiSim,0.790272620869669
0,60,5,0.15,0.002,Herm,0.9880012482821504
0,20,3,0.0,0.0,DiSim,0.810983192429829
0,20,3,0.0,0.0,Herm,0.9693348992070071
0,20,3,0.0,0.00025,DiSim,0.7990672878903478
0,20,3,0.0,0.00025,Herm,0.9683526244650746
0,20,3,0.0,0.0005,DiSim,0.7887982320686375
0,20,3,0.0,0.0005,Herm,0.9683513053045693
0,20,3,0.0,0.00075,DiSim,0.7781791564216846
0,20,3,0.0,0.00075,Herm,0.967858114336357
0,20,3,0.0,0.001,DiSim,0.7780646019877063
0,20,3,0.0,0.001,Herm,0.968846693597595
0,20,3,0.0,0.00125,DiSim,0.7503363084712855
0,20,3,0.0,0.00125,Herm,0.9673730474381038
0,20,3,0.0,0.0015,DiSim,0.7181304863003508
0,20,3,0.0,0.0015,Herm,0.968349755137573
0,20,3,0.0,0.00175,DiSim,0.6878740212679677
0,20,3,0.0,0.00175,Herm,0.9678538097966523
0,20,3,0.0,0.002,DiSim,0.6580992642565909
0,20,3,0.0,0.002,Herm,0.9658968068199194
0,60,3,0.0,0.0,DiSim,0.9339929677495509
0,60,3,0.0,0.0,Herm,0.9910152683105237
0,60,3,0.0,0.00025,DiSim,0.9335027361803905
0,60,3,0.0,0.00025,Herm,0.9905184744777726
0,60,3,0.0,0.0005,DiSim,0.9335027361803905
0,60,3,0.0,0.0005,Herm,0.9905184744777726
0,60,3,0.0,0.00075,DiSim,0.9335027361803905
0,60,3,0.0,0.00075,Herm,0.9905184744777726
0,60,3,0.0,0.001,DiSim,0.9335027361803905
0,60,3,0.0,0.001,Herm,0.9905184744777726
0,60,3,0.0,0.00125,DiSim,0.9315444567881932
0,60,3,0.0,0.00125,Herm,0.9905184744777726
0,60,3,0.0,0.0015,DiSim,0.9292055154526001
0,60,3,0.0,0.0015,Herm,0.9905184744777726
0,60,3,0.0,0.00175,DiSim,0.9287174377511439
0,60,3,0.0,0.00175,Herm,0.9905184744777726
0,60,3,0.0,0.002,DiSim,0.928711266125435
0,60,3,0.0,0.002,Herm,0.9905184744777726
0,20,5,0.0,0.0,DiSim,0.806073764515345
0,20,5,0.0,0.0,Herm,0.9752276147142427
0,20,5,0.0,0.00025,DiSim,0.785966742094345
0,20,5,0.0,0.00025,Herm,0.9732522288203214
0,20,5,0.0,0.0005,DiSim,0.7246818587422792
0,20,5,0.0,0.0005,Herm,0.9709863820170941
0,20,5,0.0,0.00075,DiSim,0.6502217063605105
0,20,5,0.0,0.00075,Herm,0.9719633306489674
0,20,5,0.0,0.001,DiSim,0.583252446180729
0,20,5,0.0,0.001,Herm,0.9702334933966791
0,20,5,0.0,0.00125,DiSim,0.5428285060313047
0,20,5,0.0,0.00125,Herm,0.9675384379039208
0,20,5,0.0,0.0015,DiSim,0.5092342545993988
0,20,5,0.0,0.0015,Herm,0.9685215468133168
0,20,5,0.0,0.00175,DiSim,0.4692979752645122
0,20,5,0.0,0.00175,Herm,0.9640662624239713
0,20,5,0.0,0.002,DiSim,0.4405533950336204
0,20,5,0.0,0.002,Herm,0.9621174050825715
0,60,5,0.0,0.0,DiSim,0.9369165747719838
0,60,5,0.0,0.0,Herm,0.9967515747968199
0,60,5,0.0,0.00025,DiSim,0.9356621447312845
0,60,5,0.0,0.00025,Herm,0.996241501236785
0,60,5,0.0,0.0005,DiSim,0.9349096933241631
0,60,5,0.0,0.0005,Herm,0.996241501236785
0,60,5,0.0,0.00075,DiSim,0.9312175797754859
0,60,5,0.0,0.00075,Herm,0.9970042122025742
0,60,5,0.0,0.001,DiSim,0.9278677115772509
